column0,cell2_z2,cell3_z2,cell4_z2,cell5_z2,cell6_z2,cell7_z2,cell8_z2,cell9_z2
0,0.440032795296936,0.574967032447053,0.514842832391943,0.633534649978562,0.531244316734213,0.62961728833696,0.506106718194103,0.526685931855316
0.25,0.00492208653620693,0.0368120156159417,0.0165621454912137,0.0458056578558534,0.0174005840969994,0.0152451545008927,0.00856136486066587,0.0126525920731204
0.5,0.00427244752777705,0.034898962812915,0.0151119402639667,0.0424711861233571,0.0169802856931689,0.0134611337632038,0.00919181655026005,0.0103822426232196
0.75,0.00334122623068089,0.0323017665464757,0.013013193465314,0.0372521539981674,0.0152507971130908,0.0124076650586535,0.00299534153672674,0.0115989742678014
1,0.347232442662978,0.369722835033754,0.434693471363326,0.524534210485892,0.464983395895946,0.422142277102992,0.402827059139749,0.411211245258232
1.25,0.00192837217505789,0.0277250220843929,0.00786649881381129,0.0238968298859876,0.011435780448957,0.00707618862863187,0.00591310033712601,0.00772837642321157
1.5,0.00232010608302057,0.0265828135893715,0.00568911248080266,0.0174866242145872,0.00903317529341992,0.00533612228692251,0.00663243666933074,0.00692673088904936
1.75,0.00307704991830586,0.0259344383426041,0.00425745860558649,0.0116236107198924,0.00654291717326183,0.00356612964668674,0.0071565538129946,0.00620499167866918
2,0.00986103176362123,0.0382326851407999,0.0413393822655303,0.0221357237712001,0.0244605164926405,0.0131109310973141,0.0149162693116844,0.0106199991906437
2.25,0.00418560496747979,0.0231812854171156,0.00473251296755253,0.00614422984083598,0.00245596018370463,0.00434691066574993,0.0041847365377262,0.00241576882580373
2.5,0.00440557496479054,0.0200236492259384,0.00566360281350665,0.00579854077551533,0.00386022830386189,0.00459884755381961,0.000638814684913088,0.00556413102518784
2.75,0.00446059485074789,0.0155137141603195,0.00650102387119272,0.00497029804372879,0.0063298701155409,0.00593168299312719,0.00198139596472008,0.00414753791387285
3,0.109470315051003,0.122377250130698,0.173064091400953,0.217487598110725,0.153922093154369,0.151007258480072,0.137281442449062,0.140364400519919
3.25,0.00440015249671265,0.0043508681950102,0.00819854181176272,0.00205293893762433,0.00998672864213311,0.00885309926053389,0.00442432093203678,0.00775406370214212
3.5,0.00431627623011596,0.00418593049111091,0.00891103921008697,0.000989912325376994,0.011081313003058,0.00762116653489928,0.00538971685134739,0.00228957007389798
3.75,0.00413974768643531,0.00934392351540461,0.00958477009415604,0.00175437353178594,0.0102837841014507,0.0057185962581827,0.00454959447827321,0.00125394396295657
4,0.0142788855311997,0.0127768255979093,0.00925362897563873,0.0449486778871382,0.00324047418884513,0.0115835992888112,0.00519369538137689,0.00646186760210962
4.25,0.00339250870025184,0.0173033515240379,0.0103935569544953,0.00296276563485071,0.00663656880345779,0.00158005084713267,0.00521182505024409,0.0060016443366238
4.5,0.00292488769411611,0.0192142979718238,0.0106426266093165,0.00286311027595344,0.00423288045831086,0.00445761770884,0.00368019068567669,0.0088836491117158
4.75,0.00261476242346726,0.0197964261076651,0.0106816341398673,0.0026869246028602,0.0027763686669749,0.0073321831183328,0.00583774136222264,0.0064057193767315
5,0.0661379899560814,0.0824421882055845,0.0743188496822752,0.0841795980934409,0.0789669606758499,0.0730077918469307,0.0678401042062593,0.0763544401467879
5.25,0.00299012583551603,0.018645879086175,0.0106151057043588,0.00456863177823384,0.00396984039965899,0.00854046487558997,0.00481588440748858,0.00390336216508848
5.5,0.0034252229924191,0.0179816204080334,0.0103224854084643,0.00602396492368687,0.0043045835541128,0.00619217948384837,0.00639859880316964,0.00213184690164415
5.75,0.00376788274685044,0.0177332939508182,0.00986369713090826,0.00689105119969255,0.00515148032772747,0.00417017791477441,0.00832296691613865,0.00428272204869304
6,0.010663359776203,0.0318059878376511,0.0257030414517967,0.0217060942595379,0.0138745677530352,0.00925532956110157,0.0126869130001417,0.0106021114994324
6.25,0.00384731273053648,0.0179790619243424,0.00827055044417592,0.0076166195964058,0.00415042941276259,0.00813773959710816,0.0068326699318119,0.00417784052974865
6.5,0.00361949646450035,0.0177735604715765,0.00717432377311406,0.00708894579343826,0.00389421373733374,0.00947590595680227,0.0106977425940009,0.0033328142430287
6.75,0.00332567159938541,0.0170195171713287,0.00613157574419387,0.00608509636423711,0.00263426423170618,0.0112080696982871,0.00535593631162516,0.00712668340574508
