column0,cell1_z1,cell1_z2,cell1_z3,cell2_z1,cell2_z2,cell2_z3,cell3_z1,cell3_z2,cell3_z3,cell4_z1,cell4_z2,cell4_z3,cell5_z1,cell5_z2,cell5_z3,cell6_z1,cell6_z2,cell6_z3,cell7_z1,cell7_z2,cell7_z3,cell8_z1,cell8_z2,cell8_z3,cell9_z1,cell9_z2,cell9_z3,cell10_z1,cell10_z2,cell10_z3
203.1563126252505,9.749984804680238e-07,2.699335540096936e-06,9.219976230884353e-07,8.345774468160284e-05,5.740091665081748e-05,0.0001066945131147379,9.088200243250617e-05,7.447497527320352e-05,0.0001076031862615587,0.0001401604407720814,3.281233318354877e-05,0.0001151555986716061,0.0001939525256335237,7.991702209801214e-05,3.647667760497997e-05,0.0002162792611454817,6.993064097710991e-05,0.0001198570442105219,0.0001398168456360248,5.949814828954643e-05,5.190065253310864e-05,0.0002411555611025151,4.709617999881385e-05,5.996471952671667e-05,0.000213833708466451,0.0001008500505995982,9.068148936956811e-05,NaN,NaN,NaN
203.4068136272545,9.742276079938714e-07,2.696492674888678e-06,9.213165853320058e-07,8.220150433717685e-05,4.942541505793459e-05,0.0001061798172090852,9.109686091940212e-05,7.330425551820555e-05,0.0001060928025269498,0.0001394905571128208,2.443503499869436e-05,0.000118755442669094,0.000193330164611648,7.684381326052589e-05,3.474522699183685e-05,0.0002166206122030729,6.811105463832579e-05,0.0001144584821679393,0.0001416924544295827,4.414682179280949e-05,4.28178966808181e-05,0.0002365465256279296,7.061417061175297e-05,5.665109536734961e-05,0.0002028270984962726,9.470988853004452e-05,7.663062315079322e-05,NaN,NaN,NaN
203.6573146292585,9.739917642539571e-07,2.695281511659337e-06,9.205704639004516e-07,8.52635973634749e-05,5.85698551769024e-05,0.0001055652398802863,9.156925594909997e-05,7.575356881314243e-05,0.0001131003197260475,0.000140470452949662,2.322928103316946e-05,0.0001138498521215509,0.0001966995480197038,8.719315116688292e-05,3.335120819862226e-05,0.0002154087628658725,6.270974087355519e-05,0.0001068639942863565,0.0001414015910093398,2.317145829704252e-05,4.151873427632706e-05,0.0002235283153560206,8.008218786271598e-05,5.07507712501113e-05,0.000196946333354586,9.135885959370478e-05,4.063161472369136e-05,NaN,NaN,NaN
203.9078156312625,9.73569037755736e-07,2.692615436992625e-06,9.201177356421951e-07,8.453902949695433e-05,6.152529173523149e-05,0.0001059138283849981,9.072522401920351e-05,7.544891425433707e-05,0.0001109368827723718,0.0001389463951801505,2.838633643848784e-05,0.0001128512023882549,0.000195293533586509,8.647644275322387e-05,3.457811137911553e-05,0.0002146450179253807,7.297780634353062e-05,9.929464637416649e-05,0.0001427667986503201,1.333284210610123e-05,3.87472932215053e-05,0.0002084388446811463,0.0001122406237586206,4.098673303440035e-05,0.0001876734191122582,9.098948548079071e-05,1.370686402445427e-05,NaN,NaN,NaN
204.1583166332665,9.723515209438023e-07,2.689131169002742e-06,9.195877417001368e-07,8.141510550891861e-05,5.104971950193474e-05,0.0001058849899333529,9.031648841742396e-05,7.307272819898181e-05,0.0001048797265074904,0.000137300669698681,2.472127236967143e-05,0.0001187357610396244,0.0001924120281133674,7.883675208630796e-05,3.487291456364486e-05,0.0002134587486055407,7.563959457904047e-05,9.329885365650817e-05,0.0001429272460490839,2.100600564561949e-05,3.047741999884231e-05,0.000196499944858986,0.0001092972307382828,3.233448463387043e-05,0.0001727986354341838,8.563220779450024e-05,1.863431890802413e-05,NaN,NaN,NaN
204.4088176352705,9.719298825039439e-07,2.687472342536129e-06,9.188447645099768e-07,8.334509128070459e-05,5.36035852003243e-05,0.0001051008592070139,9.100454024208362e-05,7.468744308516755e-05,0.0001102949285712003,0.0001385257763293043,1.827551576464753e-05,0.0001174118339896951,0.0001951650924588124,8.651346807284821e-05,3.360173344250681e-05,0.0002102822077980411,7.315870392908257e-05,8.615372873206307e-05,0.000139468575122141,3.461796988455155e-05,2.926326459110197e-05,0.000182157692069607,9.6750389231819e-05,2.648942956332571e-05,0.0001654315693966005,5.921239765487969e-05,3.953574936848479e-05,NaN,NaN,NaN
204.6593186372745,9.717035316035586e-07,2.685920966825332e-06,9.182140180490649e-07,8.500304296403465e-05,6.269505469761078e-05,0.0001050731973611245,9.067897946728153e-05,7.652030314547655e-05,0.0001137137655362946,0.0001386572505837103,2.363320293840121e-05,0.0001128984911841782,0.0001964743073595002,9.109034914491796e-05,3.462112617567283e-05,0.000206910651726521,8.537881323849099e-05,7.810384657866495e-05,0.0001367397903235569,3.606334526627242e-05,2.588134899273102e-05,0.0001663353108332338,0.0001031672798332794,2.823203863213008e-05,0.0001613995129368319,5.88736507609338e-05,4.783766522444592e-05,NaN,NaN,NaN
204.9098196392786,9.706193428532961e-07,2.68220968873245e-06,9.178735574974126e-07,8.177316424301694e-05,5.571290414609308e-05,0.0001054163388348572,8.978482981008805e-05,7.446522532995249e-05,0.0001069131989973656,0.0001366921400852303,2.695513486066131e-05,0.0001175090104609854,0.0001929157496744801,8.241612676710116e-05,3.690804031470156e-05,0.0002041859689816896,9.115113646949599e-05,7.214944746025608e-05,0.000135247515924836,3.188802129684821e-05,1.479072924002476e-05,0.0001558638292181615,7.175605134714042e-05,3.735679014879028e-05,0.0001497197391280705,0.0001001622275140061,6.212492726894754e-05,NaN,NaN,NaN
205.1603206412826,9.699444734462685e-07,2.679756678543867e-06,9.171855993267213e-07,8.128051855196039e-05,4.965684317615412e-05,0.0001048294486874476,9.020551913701664e-05,7.428836330723365e-05,0.000107253639935233,0.0001371080867166302,2.111412294620762e-05,0.0001207707358204307,0.000193299520404022,8.46600742283452e-05,3.695306975859135e-05,0.000200205122042813,8.8785213027931e-05,6.735182945693901e-05,0.0001310558294192681,3.689297336918212e-05,9.31362944384387e-06,0.0001471856608045906,5.486591972287752e-05,4.959969472581559e-05,0.0001375125096914508,0.0001401204968470781,6.128604910336078e-05,NaN,NaN,NaN
205.4108216432866,9.698636785864282e-07,2.678603521502357e-06,9.163984942679491e-07,8.428994783066222e-05,6.02785067310005e-05,0.0001043404070223784,9.049936339815056e-05,7.726563302188122e-05,0.0001143884408879139,0.0001386032644156994,2.065685868314196e-05,0.0001157751354359374,0.0001964770125988789,9.31168096471886e-05,3.716208213031682e-05,0.0001954890784673189,9.974267699820573e-05,6.231795469260648e-05,0.0001264029486477093,3.638853001617078e-05,1.261430821324421e-05,0.0001356207488246427,5.193727041989893e-05,5.606962559397512e-05,0.0001308835614369772,0.0001707060268101463,5.820823657447758e-05,NaN,NaN,NaN
