x,oscil,steady
0,2.6671586,2.24727321
0.0000356379896,2.66699147,2.21632981
0.0000712755136,2.66696119,2.21626401
0.000106913503,2.66693115,2.21619821
0.000142551027,2.66690087,2.2161324
0.000178189017,2.66702485,2.21619272
0.000213827007,2.66719055,2.21628261
0.00024946453,2.66735673,2.21637249
0.00028510252,2.66752291,2.21646237
0.00032074051,2.66786504,2.21670175
0.000356378034,2.6684258,2.2170763
0.000392016023,2.66900396,2.21745825
0.000427653547,2.66958189,2.21783996
0.000463291537,2.67012525,2.21821404
0.000498929527,2.67056823,2.21854019
0.000534567051,2.67099571,2.2188561
0.00057020504,2.6714232,2.21917224
0.000605842564,2.67190003,2.21952772
0.000641480554,2.67254424,2.22001791
0.000677118544,2.6732049,2.22052145
0.000712756068,2.67386556,2.22102499
0.000748394057,2.67452168,2.22152519
0.000784032047,2.6750555,2.22193146
0.000819669571,2.6755321,2.22229505
0.00085530756,2.6760087,2.22265863
0.000890945084,2.6764853,2.22302222
0.000926583074,2.67715144,2.22353125
0.000962221064,2.67775178,2.22398901
0.000997858588,2.67835188,2.22444701
0.00103349658,2.67895198,2.22490478
0.0010691341,2.67994547,2.22571731
0.00110477209,2.6805923,2.22625065
0.00114041008,2.68123889,2.22678375
0.0011760476,2.68188572,2.22731709
0.00121168559,2.68146515,2.22692752
0.00124732358,2.68021011,2.22581983
0.00128296111,2.67895532,2.22471189
0.0013185991,2.67770028,2.2236042
0.00135423662,2.67877316,2.22429276
0.00138987461,2.68123055,2.22601652
0.0014255126,2.68682313,2.23011374
0.00146115012,2.69241595,2.23421073
0.00149678811,2.69576263,2.23661947
0.00153242564,2.6940043,2.23519182
0.00156806363,2.69322801,2.23459768
0.00160370162,2.69653082,2.23732829
0.00163933914,2.70179296,2.24116564
0.00167497713,2.70609379,2.24441409
0.00171061512,2.708354,2.24565005
0.00174625264,2.7084651,2.24095774
0.00178189063,2.7035234,2.2358346
0.00220954418,2.15550208,1.79045308
0.00224518194,2.15598702,1.79081035
0.00228081993,2.15651703,1.79123878
0.00231645769,2.15758705,1.79210114
0.00235209544,2.15766501,1.79234099
0.0023877332,2.15765142,1.79242742
0.00242337119,2.15955019,1.79349637
0.00245900895,2.16418552,1.7961812
0.0024946467,2.17524433,1.8026607
0.00253028446,2.18335056,1.80737114
0.00256592245,2.18090796,1.80576289
0.00260156021,2.17846537,1.80415452
0.00263719796,2.17602301,1.80254626
0.00267283572,2.17337179,1.80075574
0.00270847348,2.16749597,1.79618669
0.00274411147,2.16163945,1.79162729
0.00277974922,2.15578294,1.78706801
0.00281538698,2.14992642,1.78250861
0.00285102474,2.13696623,1.77140951
0.00288666273,2.12317634,1.7595607
0.00292230048,2.10938668,1.7477119
0.00295793824,2.09559679,1.73586309
0.002993576,2.0803864,1.72308099
0.00302921399,2.06451058,1.70988882
0.00306485174,2.04863477,1.69669676
0.0031004895,2.03275919,1.68350482
0.00313612726,2.01957273,1.67308664
0.00317176501,2.00842714,1.66493416
0.003207403,1.99728131,1.65678167
0.00324304076,1.9861356,1.64862931
