time,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8
0.002,8.49739888440892E-05,9.3635585460039E-05,6.57606597317124E-05,0.000105975331774209,7.46647476569794E-05,7.72819768238961E-05,8.71916827841319E-05,7.38706804185346E-05
0.004,0.0075994806728342,0.00840427657705802,0.00583675925748048,0.00841788055828441,0.0064571567313839,0.00754532942520803,0.00715420204762241,0.00641362986572124
0.006,0.0128449956462419,0.00971525397439766,0.0166866232578041,0.00804723751276065,0.0135866958290183,0.0129637928187129,0.010698924085772,0.013326583428704
0.008,0.0147652413919566,0.0111177413672751,0.0123358691479072,0.0111388744959308,0.0112547100605389,0.0118087777667459,0.0104005658702764,0.0110527313175038
0.01,0.0370590736452172,0.0432977852821086,0.0287049269996786,0.050199034966889,0.0348869618584288,0.0355617168042751,0.0382539467460653,0.0341278471417655
0.012,0.0758291700613768,0.0830578999603695,0.0569581698267416,0.0955671653891275,0.0628332123105303,0.0756510613569204,0.0804522045412015,0.0592994791069891
0.014,0.0879447920681975,0.144759324255851,0.0904175257297035,0.136388824415643,0.0995880337292086,0.107217362690394,0.120944945938376,0.0983708533563895
0.016,0.0814642879543163,0.160290220793286,0.104354728796585,0.136992419803282,0.113960696268596,0.133806058716312,0.115573359853584,0.111133131678928
0.018,0.105695346752537,0.240563329050715,0.110637722918088,0.140995764111919,0.131316582566457,0.131976512215498,0.133193594933243,0.126606774873788
0.02,0.131239818530221,0.227299040019935,0.092913422062727,0.12051140051219,0.102388873617469,0.115954491024238,0.100703068731471,0.0981508430473854
0.022,0.153584579165069,0.162305543417373,0.0937489055788797,0.111275677528901,0.0806181327481444,0.0918189191296796,0.0947045214858472,0.0778042426667505
0.024,0.13946962899455,0.162970731875941,0.0700625348965802,0.0828955959688637,0.0761621356577534,0.0841827028835314,0.0730156106601541,0.0702804158872928
0.026,0.153005304427751,0.131552052487245,0.0651756017604177,0.0703353905706718,0.0610545663736689,0.0864758906103346,0.0522457713046813,0.0549367383323104
0.028,0.15936574725368,0.100067402618751,0.0629443643665614,0.0729179471003682,0.0536516344366097,0.0828969281451357,0.0503927877404564,0.0490298110477968
0.03,0.162503288541609,0.0963016941742589,0.0699247016757399,0.0714165595000957,0.0450961990977276,0.0611729560481144,0.0429538031148929,0.036290056357183
0.032,0.174949716228514,0.0856748693230137,0.0591561306719172,0.0646086077172166,0.0408993616200541,0.048104732729138,0.0392552048303479,0.0365192521221481
0.034,0.166025288716835,0.0799837796733827,0.0872426191847672,0.0574899543639263,0.0496894246450015,0.046448732049065,0.0682122885821412,0.0322938033029214
0.036,0.20715270815226,0.0841316646550109,0.0902994317896557,0.0618969483414865,0.0387184453161757,0.0694548079422356,0.0847964692260153,0.0322914885712714
0.038,0.205804312806538,0.0676230521802504,0.0755188059634019,0.0495092370217918,0.0324669662296196,0.0505132095320544,0.0905372875887605,0.0358388587376971
0.04,0.24551042671799,0.0684067350007692,0.0565267142702342,0.0411260967210185,0.0413221081294105,0.0530901551588886,0.0681648463275056,0.0368119365427942
0.042,0.239298687966236,0.065660392747716,0.0517615734384257,0.0359590421268514,0.0358964213853881,0.0420742600938626,0.0747513338903549,0.033493133452894
0.044,0.260639139484403,0.065367153147467,0.0647991664126489,0.0361008794814571,0.0469205131122173,0.0377682621712877,0.0578328918020598,0.0250327637341824
0.046,0.255386765315339,0.0687256720006198,0.0562747071820382,0.0313271901678479,0.0585693492002197,0.0351635614919805,0.0501874921652536,0.0353404662850283
0.048,0.249469265381621,0.0558321000322744,0.0592460408094652,0.0261218946203013,0.0767057317458044,0.0427149246757077,0.0399466184782272,0.0268770057037772
0.05,0.234850878307414,0.0494837303704997,0.0656278149221689,0.0269020345901936,0.0704940665050349,0.0605435135875929,0.031957315898366,0.0227515544275633
0.052,0.237995026642777,0.0437446337455178,0.0844293035886206,0.0271795471971641,0.078326676175486,0.04790736475578,0.0390171689663417,0.027055016160388
0.054,0.237711345538638,0.0360837229925127,0.128170220547545,0.0243024101669034,0.0891198530254841,0.059671924343831,0.0519186143335453,0.0251274269189493
0.056,0.224574331619156,0.0335482879050763,0.116034384724047,0.0390574718008508,0.0652509593462791,0.0544403606926426,0.0452281630785147,0.0188370926782679
0.058,0.222450131161479,0.0326790635693361,0.126119514207848,0.0290447676482063,0.0582295418455363,0.0390147823230916,0.0403589981387927,0.0136340009308397
0.06,0.223232793863139,0.0347063699475088,0.156278096946635,0.0332055387377966,0.057042532965939,0.0320441487602543,0.0346220473075226,0.0221569606445679
0.062,0.233685483280133,0.0405618553584892,0.173494861697801,0.0281153422721763,0.0441571449457625,0.03762295121687,0.0346464575370042,0.0205813505998722
0.064,0.214821120226614,0.0484141044013275,0.166444543257105,0.0195346788115606,0.0412944916015396,0.0306465840989037,0.0296598447460526,0.0273010683904405
0.066,0.221349314779982,0.0691290338695494,0.168315295577198,0.0142468851819699,0.0360707197052292,0.0268739704076188,0.0238649057585685,0.044368596839839
0.068,0.215560597155746,0.110266550709758,0.158113712272536,0.0126777247770834,0.0258114638245392,0.0310690895089296,0.0209923727905996,0.0379163217348758
0.07,0.233707375594616,0.110411358464571,0.168350996835542,0.0125920386166863,0.0191989924715027,0.0376754270264727,0.0209391985948936,0.032513581306121
0.072,0.209410954647006,0.140994775626011,0.156504980260885,0.00901683144078131,0.0156494584222431,0.0823182798632374,0.0242119509197209,0.0357177493333679
0.074,0.222186844061775,0.173822522426962,0.135340982471042,0.00750480854656891,0.0324999419564101,0.0597063269947759,0.0260968172735123,0.0409227433108034
0.076,0.209601148121356,0.214597850235373,0.116888407799548,0.00610497025669495,0.0477855140889186,0.0463872085117885,0.0200065309067523,0.0391855896868002
