steady_aveTw,steady_areaFraction,sine_1_aveTw,sine_1_areaFraction,sine_4_aveTw,sine_4_areaFraction,sine_8_aveTw,sine_8_areaFraction,square_1_aveTw,square_1_areaFraction,square_4_aveTw,square_4_areaFraction,square_8_aveTw,square_8_areaFraction
0.0933683324444444,0.0235220319875412,0.0793472236666667,0.0148516645462115,0.0769189832222222,0.0134269256557801,0.0706685664444444,0.0123288580070655,0.0876047167777778,0.0142246474986586,0.0907646803333333,0.0132033592530172,0.0927385115555556,0.011798761011713
0.466841662222222,0.0157808504420002,0.396736118333333,0.0113001690685975,0.384594916111111,0.0112506668943856,0.353342832222222,0.0107388171963318,0.438023583888889,0.0115610667265607,0.453823401666667,0.0111750837396983,0.463692557777778,0.0110237110669582
0.840314992,0.0122860125027585,0.714125013,0.00863635667590854,0.692270849,0.00858778132844528,0.636017098,0.00779350685203262,0.788442451,0.00907703135022063,0.816882123,0.00922356478280424,0.834646604,0.00901970182087282
1.21378832177778,0.0113080381751363,1.03151390766667,0.00786085952135581,0.999946781888889,0.00803497928835085,0.918691363777778,0.00749571781019685,1.13886131811111,0.00821888256299962,1.17994084433333,0.00855434449031999,1.20560065022222,0.0084868472318787
1.58726165155556,0.0108040648265702,1.34890280233333,0.00778864083517362,1.30762271477778,0.00734522285870817,1.20136562955556,0.00700483958512788,1.48928018522222,0.00743867912297185,1.54299956566667,0.00797761194678528,1.57655469644444,0.00793718148945865
1.96073498133333,0.0106513795360617,1.666291697,0.00709604377147853,1.61529864766667,0.00715375351168765,1.48403989533333,0.00654851095655035,1.83969905233333,0.00714834241028081,1.906058287,0.00752870586885628,1.94750874266667,0.00723289224769465
2.33420831111111,0.0109596681502615,1.98368059166667,0.00675057633204218,1.92297458055556,0.00671516427503194,1.76671416111111,0.00630858945897183,2.19011791944444,0.00687135240310567,2.26911700833333,0.00700618155767485,2.31846278888889,0.00746167130808579
2.70768164088889,0.0109501154745807,2.30106948633333,0.00680840397768924,2.23065051344444,0.00617370385114049,2.04938842688889,0.00628706474905772,2.54053678655555,0.0068646644815289,2.63217572966667,0.00725831701536003,2.68941683511111,0.00736703739383633
3.08115497066667,0.0105535520711868,2.618458381,0.00643569053475854,2.53832644633333,0.00620073803556628,2.33206269266667,0.00571729597522174,2.89095565366667,0.00694490543057826,2.995234451,0.00722691490861568,3.06037088133333,0.00697968652608185
3.45462830044444,0.0111085250203957,2.93584727566667,0.0063365843555231,2.84600237922222,0.00629106323539455,2.61473695844444,0.00555567818325994,3.24137452077778,0.00711799057170176,3.35829317233333,0.00686631072383652,3.43132492755556,0.00687625647380258
3.82810163022222,0.0120655745252584,3.25323617033333,0.00692633909099257,3.15367831211111,0.00619128709051247,2.89741122422222,0.00559564983367796,3.59179338788889,0.00788931922755271,3.72135189366667,0.00786252140250522,3.80227897377778,0.00720616354793543
4.20157496,0.0119950885888342,3.570625065,0.0072454483867065,3.461354245,0.00630490050926433,3.18008549,0.00579279480718743,3.942212255,0.00805054303634408,4.084410615,0.0089058035254088,4.17323302,0.00929261512534644
4.57504828977778,0.0114653810684812,3.88801395966667,0.00761543838912231,3.76903017788889,0.0067739660856431,3.46275975577778,0.00581195032260533,4.29263112211111,0.00859272153798549,4.44746933633333,0.00846343564640388,4.54418706622222,0.00933622786726269
4.94852161955556,0.012140924084317,4.20540285433333,0.00835543751940308,4.07670611077778,0.00769905060023118,3.74543402155556,0.00596343752654349,4.64304998922222,0.00899776515030604,4.81052805766667,0.0100161861004329,4.91514111244445,0.0097369544015754
5.32199494933333,0.0122397881943423,4.522791749,0.008669648578205,4.38438204366667,0.00788169931520608,4.02810828733333,0.00714080467045863,4.99346885633333,0.00961063275056539,5.173586779,0.0106881668626612,5.28609515866667,0.011776728894247
5.69546827911111,0.0125878511497063,4.84018064366667,0.00971463705795467,4.69205797655556,0.00936551274735662,4.31078255311111,0.00727656367167667,5.34388772344444,0.0117944980087711,5.53664550033333,0.0119019820302685,5.65704920488889,0.0133048309789723
6.06894160888889,0.0128795252073165,5.15756953833333,0.0110499655589647,4.99973390944444,0.00992207707367281,4.59345681888889,0.00845032452658372,5.69430659055556,0.0127523513801907,5.89970422166667,0.0140881649704869,6.02800325111111,0.0134869659218648
6.44241493866667,0.0118467678546023,5.474958433,0.0120806970086484,5.30740984233333,0.0110987788171884,4.87613108466667,0.00929450036003552,6.04472545766667,0.0131743450396211,6.262762943,0.0155322298890679,6.39895729733333,0.0142161873180061
6.81588826844444,0.0141554956132183,5.79234732766667,0.0137113340829545,5.61508577522222,0.0121901723160738,5.15880535044445,0.00984068653853599,6.39514432477778,0.0165929364527634,6.62582166433333,0.0153809880806587,6.76991134355556,0.0150553194877247
7.18936159822222,0.0124445284724613,6.10973622233333,0.015412324695093,5.92276170811111,0.0144142598279361,5.44147961622222,0.0113586589341824,6.74556319188889,0.0143053791848133,6.98888038566667,0.0146879209561545,7.14086538977778,0.0159540757438709
7.562834928,0.0118623494547688,6.427125117,0.0131065948918641,6.230437641,0.0146773285867612,5.724153882,0.0135368484198994,7.095982059,0.0136855850126519,7.351939107,0.0149533197615783,7.511819436,0.0148690009406679
7.93630825777778,0.0119813438455241,6.74451401166667,0.0123941280610324,6.53811357388889,0.0136463690645779,6.00682814777778,0.0120895186892682,7.44640092611111,0.0136545695801959,7.71499782833333,0.0140278977149488,7.88277348222222,0.0150877185226442
