cell1_z,cell1_uu,cell2_z,cell2_uu,cell3_z,cell3_uu,cell4_z,cell4_uu,cell5_z,cell5_uu,cell6_z,cell6_uu,cell7_z,cell7_uu,cell8_z,cell8_uu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01851851851851852,3.043842562144504e-07,0.01639344262295082,1.272194302385326e-06,0.01612903225806452,1.693499306557736e-06,0.07142857142857142,1.289225343224463e-06,0.01694915254237288,5.706278720749585e-08,0.01639344262295082,5.182834602977427e-09,0.01724137931034483,1.656841809756529e-07,0.01639344262295082,1.23193392511295e-08
0.03703703703703703,1.955885002581271e-06,0.03278688524590164,1.38750960319509e-05,0.03225806451612903,5.676951148823563e-06,0.1428571428571428,3.668552575666127e-06,0.03389830508474576,5.631820815007468e-07,0.03278688524590164,1.728443480871228e-08,0.03448275862068965,9.58156939245137e-07,0.03278688524590164,9.010350820154323e-08
0.05555555555555555,5.197296340843753e-06,0.04918032786885246,4.114052329328773e-05,0.04838709677419355,1.349676489551519e-05,0.2142857142857143,8.44775717896799e-06,0.05084745762711865,1.765916751191859e-06,0.04918032786885246,3.731412920560919e-08,0.05172413793103448,4.691569258423975e-06,0.04918032786885246,2.769585478323619e-07
0.07407407407407407,9.435787886907453e-06,0.06557377049180328,4.080355130602838e-05,0.06451612903225806,2.459249255414e-05,0.2857142857142857,1.021611600951447e-05,0.06779661016949153,2.650602338902123e-06,0.06557377049180328,1.168002197482153e-07,0.06896551724137931,1.187815634222316e-05,0.06557377049180328,8.970677632026354e-07
0.09259259259259259,2.211222668239227e-05,0.08196721311475411,4.628926623866303e-05,0.08064516129032258,4.083794542310383e-05,0.3571428571428571,1.666669398214651e-05,0.0847457627118644,3.839224517519503e-06,0.08196721311475411,2.57713137670929e-07,0.08620689655172414,2.474044591381954e-05,0.08196721311475411,1.984691335478497e-06
0.1111111111111111,2.765811333898579e-05,0.09836065573770492,5.150033499668813e-05,0.09677419354838709,4.636693851627898e-05,0.4285714285714285,1.05216445302946e-05,0.1016949152542373,3.676344343287384e-06,0.09836065573770492,9.053580718695175e-07,0.103448275862069,4.580588602525626e-05,0.09836065573770492,3.061454962652506e-06
0.1296296296296296,4.147970991717623e-05,0.1147540983606557,5.09383289636074e-05,0.1129032258064516,5.299508654454107e-05,0.5,1.033261290751843e-05,0.1186440677966102,4.420144059073753e-06,0.1147540983606557,1.988568291402343e-06,0.1206896551724138,7.114348049499981e-05,0.1147540983606557,4.338375052750959e-06
0.1481481481481481,4.74506495182294e-05,0.1311475409836066,5.188585651977017e-05,0.1290322580645161,5.060098148118471e-05,0.5714285714285714,1.284809186009589e-05,0.1355932203389831,4.221778701619157e-06,0.1311475409836066,3.662757998965805e-06,0.1379310344827586,0.0001026632926219253,0.1311475409836066,4.749730432448875e-06
0.1666666666666667,6.163835721187974e-05,0.1475409836065574,4.488334842411262e-05,0.1451612903225806,5.144667201721078e-05,0.6428571428571428,1.989283198880668e-05,0.1525423728813559,5.667348196119352e-06,0.1475409836065574,6.281520204048806e-06,0.1551724137931035,0.000128765816542891,0.1475409836065574,5.507608215937558e-06
0.1851851851851852,7.982672397256742e-05,0.1639344262295082,4.924569917832984e-05,0.1612903225806452,5.266744585976884e-05,0.7142857142857142,2.453293551834582e-05,0.1694915254237288,7.436287566497033e-06,0.1639344262295082,8.487733174854602e-06,0.1724137931034483,0.0001664245114162192,0.1639344262295082,5.781997292789028e-06
0.2037037037037037,0.0001009626228203545,0.180327868852459,5.520836456055316e-05,0.1774193548387097,5.648782473948536e-05,0.7857142857142857,3.976884096405949e-05,0.1864406779661017,1.157399230865628e-05,0.180327868852459,1.19353661757951e-05,0.1896551724137931,0.0001665722441927382,0.180327868852459,7.08021122397084e-06
0.2222222222222222,0.0001124611864715766,0.1967213114754098,6.994653894358739e-05,0.1935483870967742,0.0001008737041392048,0.8571428571428571,5.268803639734086e-05,0.2033898305084746,1.362629884331561e-05,0.1967213114754098,1.254858945396572e-05,0.2068965517241379,0.0001940453997627993,0.1967213114754098,8.383950123150836e-06
0.2407407407407407,0.0001492454754846408,0.2131147540983607,7.841049147177105e-05,0.2096774193548387,0.000152000922525261,0.9285714285714285,9.891130145149876e-05,0.2203389830508475,2.07217791628134e-05,0.2131147540983607,1.455300057835546e-05,0.2241379310344828,0.0001778964188114329,0.2131147540983607,1.082282286911819e-05
0.2592592592592592,0.0001948184187283874,0.2295081967213115,0.0001013257119011452,0.2258064516129032,0.0002257640519932497,1,0.0001109631586389688,0.2372881355932203,2.30449735183545e-05,0.2295081967213115,1.384542770285964e-05,0.2413793103448276,0.0002046317356272512,0.2295081967213115,1.271785743530818e-05
0.2777777777777778,0.0002860553988870661,0.2459016393442623,0.0001158878085806327,0.2419354838709677,0.0003456023417960222,NaN,NaN,0.2542372881355932,3.413893759470791e-05,0.2459016393442623,1.551708021838682e-05,0.2586206896551724,0.0001899721542905834,0.2459016393442623,2.277916405658314e-05
0.2962962962962963,0.0003812255265105651,0.2622950819672131,0.0001426392758477399,0.2580645161290323,0.0004447649248588996,NaN,NaN,0.2711864406779661,3.874372888956776e-05,0.2622950819672131,1.658404673002255e-05,0.2758620689655172,0.0002005632365083572,0.2622950819672131,1.874921399378802e-05
0.3148148148148148,0.0005299643994822827,0.278688524590164,0.0001886770083798087,0.2741935483870968,0.0006594480024585132,NaN,NaN,0.288135593220339,6.274933815811091e-05,0.278688524590164,2.197596486844391e-05,0.293103448275862,0.000210908177476434,0.278688524590164,2.298079998910412e-05
