steady_maxTw,steady_areaFraction,sine_1_maxTw,sine_1_areaFraction,sine_4_maxTw,sine_4_areaFraction,sine_8_maxTw,sine_8_areaFraction,square_1_maxTw,square_1_areaFraction,square_4_maxTw,square_4_areaFraction,square_8_maxTw,square_8_areaFraction
0.0929124243333333,0.0233941091021816,0.182727285555556,0.0316611816797179,0.157551125555556,0.0268248460202,0.153284251111111,0.0253680463687364,0.172628721111111,0.0294593521893959,0.185363508888889,0.0318836535731229,0.162597658888889,0.0275629331012865
0.464562121666667,0.0161062378687731,0.913636427777778,0.0213420528731466,0.787755627777778,0.0171026262262954,0.766421255555555,0.0149443689047665,0.863143605555556,0.0194826406490854,0.926817544444445,0.0201700588569382,0.812988294444444,0.0159497603076641
0.836211819,0.0123277942398103,1.64454557,0.0228644371253013,1.41796013,0.0177937453308135,1.37955826,0.0151963391951641,1.55365849,0.020629828382745,1.66827158,0.021889416441484,1.46337893,0.0163740943030174
1.20786151633333,0.011598130161045,2.37545471222222,0.024314749369413,2.04816463222222,0.0206357193060738,1.99269526444444,0.0174356788691568,2.24417337444445,0.0215370040813462,2.40972561555555,0.0226771754210171,2.11376956555555,0.0188681889382979
1.57951121366667,0.0111354075992543,3.10636385444444,0.0229717175291039,2.67836913444444,0.0208937178800633,2.60583226888889,0.0187981106710177,2.93468825888889,0.0213567540093872,3.15117965111111,0.0222518977869915,2.76416020111111,0.0197889862863792
1.951160911,0.0108687994813854,3.83727299666667,0.0198249388247179,3.30857363666667,0.0197051053778323,3.21896927333333,0.0185767165234431,3.62520314333333,0.0183624078147775,3.89263368666667,0.0198047638855185,3.41455083666667,0.0195960008126459
2.32281060833333,0.0107743663732634,4.56818213888889,0.0171776410965615,3.93877813888889,0.0168007036796068,3.83210627777778,0.0171205718344984,4.31571802777778,0.0157766989853883,4.63408772222222,0.0165239303508105,4.06494147222222,0.0176639780311848
2.69446030566667,0.0106449079095376,5.29909128111111,0.0151518481516558,4.56898264111111,0.0141475544680908,4.44524328222222,0.0157064389986356,5.00623291222222,0.0141592651922765,5.37554175777778,0.0162550263353506,4.71533210777778,0.0149920608071162
3.066110003,0.0106010724835672,6.03000042333333,0.0155953047159057,5.19918714333333,0.0128800442327728,5.05838028666667,0.0134902975243989,5.69674779666667,0.0131617080910448,6.11699579333333,0.0156763765888288,5.36572274333333,0.01425178601574
3.43775970033333,0.0112508577829863,6.76090956555556,0.0159757884899456,5.82939164555556,0.0125844233482718,5.67151729111111,0.012729488635994,6.38726268111111,0.0129596084573418,6.85844982888889,0.0155511570489811,6.01611337888889,0.0142608709451364
3.80940939766667,0.0120039386877993,7.49181870777778,0.01594654655507,6.45959614777778,0.012523824080795,6.28465429555556,0.0131828383349353,7.07777756555556,0.0119343636686107,7.59990386444444,0.0162589947412775,6.66650401444444,0.0151081053352147
4.181059095,0.0118259614212173,8.22272785,0.0165056677200495,7.08980065,0.0137066333633551,6.8977913,0.0145834014713909,7.76829245,0.0126968997910841,8.3413579,0.0161084511174417,7.31689465,0.0164514229855353
4.55270879233333,0.0120864575862937,8.95363699222222,0.0163826431324893,7.72000515222222,0.014430280599522,7.51092830444444,0.0160500284730648,8.45880733444445,0.0132017690736593,9.08281193555555,0.0159999246949081,7.96728528555555,0.0184649981679427
4.92435848966667,0.0119550854898606,9.68454613444444,0.0163202535784529,8.35020965444445,0.0147876685302389,8.12406530888889,0.0165038489986385,9.14932221888889,0.013136811467736,9.82426597111111,0.0165332740830526,8.61767592111111,0.0155883236216441
5.296008187,0.0121874966666649,10.4154552766667,0.0163828453696523,8.98041415666667,0.0143999062453608,8.73720231333333,0.0153939370408575,9.83983710333333,0.0133996803504374,10.5657200066667,0.0162372401523804,9.26806655666667,0.0141889618464862
5.66765788433333,0.0132691163379754,11.1463644188889,0.0162319313001854,9.61061865888889,0.0139290036561429,9.35033931777778,0.0142678394167042,10.5303519877778,0.0146846275242148,11.3071740422222,0.0165540873238883,9.91845719222222,0.0139747079772847
6.03930758166667,0.0123406576913296,11.8772735611111,0.0153853646844404,10.2408231611111,0.0138262208585618,9.96347632222222,0.0140795835146205,11.2208668722222,0.0137466075342207,12.0486280777778,0.017179152549194,10.5688478277778,0.0138818776302464
6.410957279,0.0116104078592917,12.6081827033333,0.0127752787411275,10.8710276633333,0.0129689618495332,10.5766133266667,0.0146957339865648,11.9113817566667,0.0139286596438479,12.7900821133333,0.0139365128360941,11.2192384633333,0.0148060435491985
6.78260697633333,0.0131924247644257,13.3390918455556,0.011539443693185,11.5012321655556,0.0128195243540818,11.1897503311111,0.0140816743264151,12.6018966411111,0.0133005992930865,13.5315361488889,0.0131323837991456,11.8696290988889,0.0170496660035117
7.15425667366667,0.0127700744540889,14.0700009877778,0.0114723026385599,12.1314366677778,0.0116270949168928,11.8028873355556,0.0136138387459145,13.2924115255556,0.0131524397364357,14.2729901844445,0.010996239866801,12.5200197344444,0.0180832465647884
7.525906371,0.0116856674417622,14.80091013,0.0104326277832421,12.76164117,0.0112673096670679,12.41602434,0.0111525492489352,13.98292641,0.0115056469230779,15.01444422,0.0103703771252009,13.17041037,0.0152037324101468
7.89755606833333,0.0120716868412021,15.5318192722222,0.00925303132168829,13.3918456722222,0.0112723447098555,13.0291613444444,0.0100587921850378,14.6734412944445,0.0109589106187591,15.7558982555556,0.0101757980138695,13.8208010055556,0.0121934916092893
