column0,cell2_z2,cell3_z2,cell4_z2,cell5_z2,cell6_z2,cell7_z2,cell8_z2,cell9_z2
0,0.424137620816541,0.58677361952237,0.515225403191845,0.609569423190932,0.524734479775978,0.635634562261549,0.525288656441548,0.537299856058939
0.25,0.00936620768561173,0.0232816897888139,0.0168368538123676,0.00308454148600835,0.0157142388318739,0.000152161585464114,0.00297999866525596,0.00439925890553222
0.5,0.00825539371125718,0.0269942049463009,0.0134371026679703,0.00453556823193389,0.00202232801567833,0.00588065751317895,0.00657070882398924,0.0029486329211691
0.75,0.00612604099953039,0.0345655924731248,0.0111328053712271,0.010054572425714,0.00375008217258638,0.0101288702297018,0.00358806695089708,0.00221073458216948
1,0.290506794584091,0.262838801003697,0.34951290570687,0.365504607605755,0.323729292083346,0.329416726387821,0.294142847440654,0.301378178415383
1.25,0.00901288556233364,0.00958654602212121,0.0138083633229343,0.00907040850807042,0.0148709653396513,0.00710334428081466,0.00863434116116737,0.0103721147387637
1.5,0.00681224572639665,0.0143415349874815,0.0111852233826653,0.0121930113536816,0.00548884972188106,0.00468118939400695,0.00539098314550399,0.00515341890156084
1.75,0.00418903803523623,0.0242209962254064,0.00567205623033428,0.0173873556303783,0.00882970000364058,0.0151610002136112,0.00554898307025384,0.0106064939344059
2,0.0116205194109891,0.0407169922362028,0.0253528511692585,0.0541043561823025,0.013097121252366,0.0492027928723374,0.00879562151601241,0.0147625104427039
2.25,0.00363060166218676,0.0078291333104267,0.00984430358324505,0.0119625093431259,0.0093719439189058,0.0122210740296692,0.0105020777149971,0.00381813978725389
2.5,0.00397069101429904,0.000890715107765035,0.00448763033974193,0.0229508960726266,0.00490061621499548,0.00422280036086206,0.00916089080487195,0.00665559583566317
2.75,0.00348528030096612,0.00905808505204256,0.00517766651692498,0.0161728483195094,0.00188427141643756,0.0100009141404529,0.00945613676719139,0.00650334244237008
3,0.0236376891190578,0.0305418905787488,0.0403490502484783,0.0324220611397958,0.00474902516976526,0.0215942163453544,0.0168977314836559,0.030108914579829
3.25,0.00486408466080898,0.00665789164807074,0.00736063613249203,0.0102430193493056,0.00741107764079641,0.00183413706093327,0.00568273594050659,0.00559593921099806
3.5,0.00308948425560781,0.00980490793449854,0.0110579758874364,0.0165539789448527,0.00437893247395559,0.00171178055447829,0.00688520429608642,0.00507337297454402
3.75,0.00145698746311193,0.0144510094706407,0.0083909640825659,0.0101168070241894,0.00522710142100415,0.00409746805763022,0.00867414915128769,0.00719424504446269
4,0.000856604754675456,0.0247544876653254,0.00266705065288448,0.0256052829379533,0.00774954317900133,0.00651197732416395,0.0082559388464158,0.0212657656681614
4.25,0.00348362521438241,0.0143405387911709,0.0141853556573514,0.0119627335092363,0.00508631317345971,0.00633794294847174,0.0044568963469048,0.00293173352130651
4.5,0.00371053741765893,0.0136673929672918,0.0077766597430812,0.013101723612973,0.00297930562673133,0.00412675031726694,0.00912858653021456,0.00177203525983118
4.75,0.00270727283993347,0.0083418633408694,0.0115053636521431,0.00969696746684996,0.0084145734950542,0.0127020613146723,0.00650904635527434,0.00445960944695419
5,0.00710599794831332,0.0202450345012205,0.0178275459365093,0.0330307931267449,0.00720256631468073,0.0213358583117906,0.0120622334365473,0.00546447304426426
5.25,0.00187756263189356,0.0171262478394009,0.0115494534935618,0.00109400934950884,0.00370032020162712,0.0146497408571715,0.00833396817124054,0.00812592268082095
5.5,0.00225674277084736,0.00623820707656038,0.00883095454663204,0.00438710736420599,0.00301026070030957,0.00449143652132372,0.00573730812338734,0.00871897350017973
5.75,0.00248204950147836,0.0146390275839521,0.0185786191164339,0.00559179591338096,0.00899985113995768,0.00455648810153969,0.00226587866370595,0.00684663026768431
